个体编号,4_3原始节点数,4_3原始边数,FIDNER结果点数_x,4_4原始节点数,4_4原始边数,FIDNER结果点数_y
114823,2360,6330,1115,6135,92751,5639
115017,2600,7702,1242,5811,90449,5164
115219,2102,5300,1003,6095,88140,5440
115320,3449,15673,1803,5105,87848,4661
115825,2548,7456,1227,5777,89523,5289
116221,1818,4469,852,6097,82685,5081
116524,2479,6609,1196,5710,77223,5139
116726,2554,6944,1219,5678,86628,5171
117122,2934,10601,1494,5449,92216,4917
117324,2824,9255,1397,5468,88514,5082
117930,2949,10550,1460,5514,87080,4888
118023,3208,11323,1620,5508,98537,5289
118124,3889,20952,2028,4588,81053,4308
118225,1731,3679,803,6705,100912,6180
118528,3055,10700,1539,5540,82483,5150
118730,2012,4826,979,6349,88674,5808
118932,2000,4923,961,6268,92608,5721
119126,3094,10550,1559,5345,88634,5004
119732,2818,8870,1385,5569,87461,5176
119833,2454,7330,1169,5977,89129,5426
120111,2090,4974,993,6081,88517,5325
120212,2562,6680,1220,5243,90506,4735
120515,3928,17763,2081,4921,91816,4730
120717,2871,8678,1404,5773,93622,5396
121416,1786,4105,875,6358,86504,5650
121618,1883,4521,929,6270,86642,5610
121921,1876,4074,915,6445,87722,5902
122317,2416,7239,1203,5990,92613,5422
122620,3102,11420,1523,5358,85881,4897
122822,2970,9392,1501,5647,90055,5321
123117,2315,5710,1149,5939,91178,5509
123420,2783,9006,1369,5524,82187,5042
123521,1928,4753,913,6295,92116,5761
123824,3338,12293,1664,5320,83882,5043
123925,3176,11939,1597,5214,86140,4822
124220,1552,3324,741,6620,89347,5772
124422,2963,9530,1506,5411,85590,4953
124624,2457,7000,1204,5750,86303,5059
124826,2588,7619,1238,5793,87454,5288
125525,3120,10986,1538,5415,90353,5026
126325,3046,10991,1561,5360,86321,4879
126628,2797,9013,1424,5708,89898,5136
127327,1259,2278,582,6661,84363,5875
127630,3592,14334,1805,5256,91223,5015
127933,1486,3002,716,6470,87375,5692
128026,2127,5319,1033,6095,85589,5581
128127,2672,8158,1301,5795,91456,5300
128632,2437,6154,1171,5969,94742,5626
128935,2652,8021,1280,5719,84687,5261
129028,2011,5078,942,6269,92960,5651
129129,2846,9230,1433,5634,88277,5107
129331,3348,11587,1725,5381,88537,5161
129634,2930,10413,1454,5290,88734,4846
129937,2656,7783,1320,5636,89566,5234
130013,1651,3390,757,6702,95479,6142
130316,2546,6940,1252,5848,90656,5362
130417,1690,3341,821,6326,85079,5785
130619,2457,8008,1180,5686,88477,4999
130821,3111,11764,1557,5358,82264,4944
130922,2614,6778,1244,5896,94828,5571
131217,2559,8054,1206,5632,85443,5047
131419,3097,11394,1535,5193,79998,4569
131722,2507,7401,1234,5654,82187,4980
131823,1892,4634,872,6105,87541,4881
131924,2185,5162,1057,6171,91227,5803
132017,2866,8246,1488,5629,89312,5299
132118,2980,8363,1451,5811,101595,5637
133019,2320,5569,1093,6048,90579,5593
133625,1914,4291,897,6293,90558,5543
133827,1707,3650,848,6453,85743,5684
133928,2423,6488,1157,5861,80374,5326
134021,3521,17306,1852,4954,90959,4554
134223,2869,9439,1419,5573,89676,5030
134324,2388,6449,1134,5768,82984,5372
134425,3037,10593,1501,5401,83293,5080
134728,1661,3446,784,6527,87144,5949
134829,2475,6644,1201,5923,88579,5460
135225,3626,17398,1837,4872,83682,4437
135528,3768,16933,1938,4858,81663,4563
135730,2211,5732,1054,5956,85121,5353
135932,2305,6099,1114,6049,83483,5607
136227,1460,3019,661,6628,86757,5720
136732,3130,11936,1540,5481,94837,5207
136833,2752,8955,1351,5701,91031,5212
137027,2257,5496,1090,6141,91385,5439
137128,3606,17894,1845,4789,83947,4379
137229,1941,4311,953,6422,86425,5875
137633,3278,11825,1656,5284,86727,4922
137936,2964,9432,1497,5520,78605,5057
138231,2841,9873,1418,5616,89575,5160
138534,2650,7753,1275,5687,85879,5212
138837,2450,6934,1209,5827,88718,5220
139233,3108,10787,1578,5446,88604,5078
139637,2913,10503,1438,5514,84453,5066
139839,1731,3818,823,6395,87879,5530
140117,3112,12024,1527,5298,86481,4795
140319,2995,9729,1480,5345,87354,4887
140420,3156,10346,1595,5423,85921,5091
140824,2436,6502,1191,6073,89040,5598
