个体编号,原始节点数,原始边数,结果点数
114621,5599,88495,5071
114823,6135,92751,5639
115017,5811,90449,5164
115219,6095,88140,5440
115320,5105,87848,4661
115825,5777,89523,5289
116221,6097,82685,5081
116524,5710,77223,5139
116726,5678,86628,5171
117122,5449,92216,4917
117324,5468,88514,5082
117930,5514,87080,4888
118023,5508,98537,5289
118124,4588,81053,4308
118225,6705,100912,6180
118528,5540,82483,5150
118730,6349,88674,5808
118932,6268,92608,5721
119126,5345,88634,5004
119732,5569,87461,5176
119833,5977,89129,5426
120111,6081,88517,5325
120212,5243,90506,4735
120515,4921,91816,4730
120717,5773,93622,5396
121416,6358,86504,5650
121618,6270,86642,5610
121921,6445,87722,5902
122317,5990,92613,5422
122620,5358,85881,4897
122822,5647,90055,5321
123117,5939,91178,5509
123420,5524,82187,5042
123521,6295,92116,5761
123824,5320,83882,5043
123925,5214,86140,4822
124220,6620,89347,5772
124422,5411,85590,4953
124624,5750,86303,5059
124826,5793,87454,5288
125525,5415,90353,5026
126325,5360,86321,4879
126628,5708,89898,5136
127327,6661,84363,5875
127630,5256,91223,5015
127933,6470,87375,5692
128026,6095,85589,5581
128127,5795,91456,5300
128632,5969,94742,5626
128935,5719,84687,5261
129028,6269,92960,5651
129129,5634,88277,5107
129331,5381,88537,5161
129634,5290,88734,4846
129937,5636,89566,5234
130013,6702,95479,6142
130316,5848,90656,5362
130417,6326,85079,5785
130619,5686,88477,4999
130821,5358,82264,4944
130922,5896,94828,5571
131217,5632,85443,5047
131419,5193,79998,4569
131722,5654,82187,4980
131823,6105,87541,4881
131924,6171,91227,5803
132017,5629,89312,5299
132118,5811,101595,5637
133019,6048,90579,5593
133625,6293,90558,5543
133827,6453,85743,5684
133928,5861,80374,5326
134021,4954,90959,4554
134223,5573,89676,5030
134324,5768,82984,5372
134425,5401,83293,5080
134728,6527,87144,5949
134829,5923,88579,5460
135225,4872,83682,4437
135528,4858,81663,4563
135730,5956,85121,5353
135932,6049,83483,5607
136227,6628,86757,5720
136732,5481,94837,5207
136833,5701,91031,5212
137027,6141,91385,5439
137128,4789,83947,4379
137229,6422,86425,5875
137633,5284,86727,4922
137936,5520,78605,5057
138231,5616,89575,5160
138534,5687,85879,5212
138837,5827,88718,5220
139233,5446,88604,5078
139637,5514,84453,5066
139839,6395,87879,5530
140117,5298,86481,4795
140319,5345,87354,4887
140420,5423,85921,5091
140824,6073,89040,5598
