,person,degree_centrality,hub_degree_centrality,betweenness_centrality,hub_betweenness_centrality,closeness_centrality,hub_closeness_centrality,clustering,hub_clustering,degree,hub_degree
0,117324,0.00511,0.00562,0.000439,0.00052,0.236,0.247,0.217,0.232,28.3,31.2
0,117930,0.00534,0.00559,0.000424,0.000391,0.244,0.257,0.225,0.229,29.6,31
0,118023,0.00586,0.00663,0.000431,0.000512,0.266,0.271,0.193,0.154,32.5,36.8
0,118124,0.00714,0.00768,0.000417,0.000496,0.279,0.29,0.24,0.256,39.6,42.5
0,118225,0.0037,0.00482,0.000441,0.000683,0.221,0.232,0.167,0.143,20.5,26.7
0,118528,0.00492,0.00535,0.000471,0.000646,0.244,0.25,0.226,0.23,27.3,29.6
0,118730,0.00375,0.004,0.000466,0.000676,0.214,0.221,0.185,0.196,20.8,22.2
0,118932,0.004,0.00403,0.000455,0.00048,0.227,0.231,0.206,0.225,22.2,22.3
0,119126,0.00547,0.00674,0.000421,0.000438,0.253,0.258,0.178,0.194,30.3,37.4
0,119732,0.00513,0.00667,0.000423,0.000576,0.247,0.269,0.193,0.196,28.4,37
0,119833,0.00441,0.00517,0.000451,0.000642,0.233,0.251,0.204,0.175,24.4,28.6
0,120111,0.0037,0.00403,0.000422,0.000456,0.206,0.217,0.186,0.183,20.5,22.3
0,120212,0.00601,0.00626,0.000401,0.000419,0.257,0.261,0.219,0.244,33.3,34.7
0,120515,0.00765,0.00795,0.000419,0.000395,0.284,0.283,0.219,0.219,42.4,44.1
0,120717,0.00519,0.00502,0.000457,0.000384,0.252,0.25,0.215,0.247,28.8,27.8
0,121416,0.0035,0.00384,0.000456,0.00046,0.208,0.218,0.185,0.216,19.4,21.3
0,121618,0.00329,0.00376,0.000446,0.000604,0.201,0.212,0.186,0.241,18.2,20.9
0,121921,0.00333,0.0038,0.000458,0.000469,0.209,0.216,0.173,0.199,18.4,21
0,122317,0.00457,0.00513,0.000436,0.000549,0.241,0.243,0.202,0.195,25.3,28.4
0,122620,0.00587,0.0071,0.000419,0.000598,0.259,0.278,0.216,0.238,32.5,39.4
0,122822,0.00529,0.00639,0.000463,0.000818,0.25,0.264,0.204,0.229,29.3,35.4
0,123117,0.00421,0.00523,0.000443,0.000566,0.233,0.247,0.192,0.178,23.3,29
0,123420,0.00489,0.00523,0.000459,0.000554,0.242,0.239,0.218,0.237,27.1,29
0,123521,0.00369,0.00403,0.000452,0.000597,0.215,0.217,0.189,0.216,20.5,22.4
0,123824,0.00555,0.00741,0.000446,0.000808,0.256,0.275,0.204,0.19,30.7,41.1
0,123925,0.00554,0.00567,0.00042,0.000423,0.252,0.261,0.21,0.217,30.7,31.4
0,124220,0.00272,0.00371,0.000426,0.000732,0.186,0.202,0.167,0.159,15.1,20.5
0,124422,0.00554,0.00515,0.000423,0.000342,0.249,0.259,0.206,0.226,30.7,28.5
0,124624,0.00442,0.00499,0.000428,0.000442,0.229,0.231,0.206,0.197,24.5,27.7
0,124826,0.00468,0.00543,0.000439,0.00041,0.238,0.241,0.204,0.226,25.9,30.1
0,125525,0.00586,0.00731,0.000433,0.000705,0.258,0.28,0.218,0.224,32.5,40.5
0,126325,0.00558,0.00733,0.000413,0.000758,0.256,0.269,0.21,0.189,30.9,40.6
0,126628,0.00495,0.00485,0.000424,0.000388,0.245,0.242,0.211,0.207,27.4,26.9
0,127327,0.00268,0.00309,0.000453,0.000599,0.166,0.193,0.175,0.19,14.9,17.1
0,127630,0.00652,0.00615,0.000434,0.000402,0.277,0.286,0.213,0.189,36.1,34.1
0,127933,0.003,0.00454,0.000426,0.000932,0.182,0.212,0.175,0.182,16.7,25.1
0,128026,0.00391,0.004,0.000466,0.000443,0.224,0.234,0.189,0.219,21.6,22.2
0,128127,0.00484,0.00433,0.000445,0.000362,0.241,0.238,0.202,0.162,26.8,24
0,128632,0.00455,0.00485,0.000448,0.000503,0.24,0.25,0.185,0.183,25.2,26.9
0,128935,0.00474,0.00556,0.00045,0.0005,0.237,0.248,0.219,0.222,26.3,30.8
0,129028,0.00394,0.00392,0.000426,0.000379,0.219,0.22,0.185,0.187,21.8,21.7
0,129129,0.00506,0.00547,0.000443,0.000413,0.241,0.253,0.22,0.223,28.1,30.3
0,129331,0.0057,0.00704,0.000461,0.000751,0.247,0.257,0.202,0.212,31.6,39
