,person,degree_centrality,hub_degree_centrality,betweenness_centrality,hub_betweenness_centrality,closeness_centrality,hub_closeness_centrality,clustering,hub_clustering,degree,hub_degree
0,114621,0.00466,0.00572,0.000439,0.000567,0.247,0.252,0.197,0.203,25.8,31.7
0,114823,0.00424,0.00554,0.000449,0.000824,0.232,0.246,0.196,0.202,23.5,30.7
0,115017,0.00458,0.00516,0.00043,0.000515,0.236,0.249,0.202,0.22,25.4,28.6
0,115219,0.00397,0.00594,0.000432,0.000726,0.215,0.232,0.184,0.208,22.0,32.9
0,115320,0.00656,0.00816,0.000416,0.000743,0.266,0.272,0.248,0.258,36.4,45.2
0,115825,0.00466,0.00508,0.00043,0.00043,0.238,0.244,0.203,0.229,25.8,28.2
0,116221,0.00345,0.0039,0.000424,0.000412,0.203,0.22,0.171,0.214,19.1,21.6
0,116524,0.0041,0.00511,0.000482,0.000655,0.224,0.239,0.193,0.245,22.7,28.3
0,116726,0.00453,0.00541,0.000429,0.000594,0.225,0.22,0.174,0.19,25.1,30.0
0,117122,0.0056,0.00482,0.000414,0.000358,0.257,0.244,0.212,0.217,31.0,26.7
